timestamp,ambient_t,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,pressure_1,pressure_2,pressure_3,pressure_4,pressure_5
2019-08-01T03:11:00Z,64.7,24,23,24,24,25,97.538055,96.087675,92.461725,103.339575,96.812865
2019-08-01T03:14:01Z,64.8,26,25,23,24,25,98.263245,96.45027,92.82432,103.339575,96.812865
2019-08-01T03:17:00Z,64.5,27,25,23,24,25,98.988435,96.45027,92.82432,103.339575,96.812865
2019-08-01T03:25:00Z,64.3,28,27,24,26,26,99.35103,97.538055,93.186915,103.70217,97.538055
2019-08-02T14:41:00Z,75.5,24,24,23,24,24,100.80141,98.62584,94.2747,105.15255,99.35103
2019-08-02T15:02:00Z,77.1,24,24,23,23,24,101.164005,99.35103,94.99989,105.87774,99.713625
2019-08-02T15:05:00Z,74.5,24,23,23,24,25,101.5266,99.35103,94.99989,105.87774,100.07622
2019-08-02T15:10:00Z,77.6,24,23,23,24,24,101.5266,98.988435,94.99989,106.240335,100.438815
2019-08-02T15:16:00Z,77.6,24,21,23,23,24,101.5266,98.988435,95.362485,105.87774,100.07622
2019-08-02T15:19:00Z,77.6,24,24,23,23,24,101.5266,98.988435,94.99989,105.87774,100.07622
2019-08-02T15:45:01Z,80.9,24,24,23,24,25,101.164005,98.988435,94.99989,106.240335,100.07622
2019-08-02T15:57:00Z,80.9,26,28,24,25,26,101.164005,99.35103,95.362485,106.240335,100.07622
2019-08-02T16:35:00Z,81.6,36,32,29,31,32,103.70217,100.80141,96.45027,107.690715,101.164005
2019-08-02T16:37:00Z,83.4,36,34,29,32,32,103.70217,101.164005,96.087675,107.32812,101.164005
2019-08-02T17:33:00Z,79.8,35,39,35,36,35,103.70217,101.164005,97.538055,108.7785,101.889195
2019-08-02T17:59:01Z,85.6,37,40,34,33,32,104.789955,103.70217,98.988435,109.866285,102.97698
2019-08-02T18:02:00Z,86.0,40,43,34,34,36,106.965525,105.515145,99.713625,110.591475,104.42736
2019-08-02T18:07:01Z,78.4,39,40,33,34,36,109.141095,106.965525,100.80141,112.041855,106.240335
2019-08-02T18:37:00Z,77.8,39,39,36,36,39,112.40445,110.95407,103.339575,114.58002,108.415905
2019-08-02T19:19:01Z,68.1,31,38,34,29,31,110.591475,110.591475,103.70217,113.492235,108.05331
2019-08-02T19:33:00Z,69.2,40,47,39,34,35,110.22888,110.22888,103.339575,112.767045,107.690715
2019-08-02T19:39:01Z,69.2,47,54,42,34,35,110.22888,110.22888,102.97698,112.767045,106.965525
2019-08-02T19:51:00Z,71.8,47,53,39,36,38,111.316665,110.95407,103.339575,113.12964,107.32812
2019-08-02T20:05:01Z,69.7,50,58,41,38,42,113.12964,113.12964,103.70217,113.492235,107.690715
2019-08-02T20:21:01Z,70.3,42,45,38,36,39,113.85483,113.492235,104.42736,114.217425,108.7785
2019-08-02T20:23:01Z,70.1,42,45,38,36,39,113.85483,113.492235,104.42736,114.217425,108.7785
2019-08-02T20:28:00Z,70.1,39,43,37,36,42,114.217425,113.492235,104.42736,114.942615,109.866285
